[Name]
Series 1 at /LINE:eksen

[Data]
X [ m ],Pressure [ Pa ]
1.99599159e+00, -2.84148750e+04
2.00801563e+00, -2.83951484e+04
2.02003980e+00, -2.83753398e+04
2.03206396e+00, -2.83551172e+04
2.04408813e+00, -2.83346172e+04
2.05611229e+00, -2.83135566e+04
2.06813645e+00, -2.82922109e+04
2.08016062e+00, -2.82705566e+04
2.09218478e+00, -2.82486152e+04
2.10420895e+00, -2.82261953e+04
2.11623311e+00, -2.82034258e+04
2.12825727e+00, -2.81800527e+04
2.14028144e+00, -2.81561973e+04
2.15230560e+00, -2.81317891e+04
2.16432977e+00, -2.81070703e+04
2.17635393e+00, -2.80822324e+04
2.18837810e+00, -2.80575781e+04
2.20040226e+00, -2.80326191e+04
2.21242642e+00, -2.80071836e+04
2.22445059e+00, -2.79810430e+04
2.23647475e+00, -2.79541563e+04
2.24849892e+00, -2.79268145e+04
2.26052308e+00, -2.78990859e+04
2.27254725e+00, -2.78709141e+04
2.28457141e+00, -2.78426211e+04
2.29659557e+00, -2.78140684e+04
2.30861974e+00, -2.77854570e+04
2.32064390e+00, -2.77564629e+04
2.33266807e+00, -2.77270313e+04
2.34469223e+00, -2.76971758e+04
2.35671639e+00, -2.76667539e+04
2.36874056e+00, -2.76358867e+04
2.38076472e+00, -2.76046094e+04
2.39278889e+00, -2.75728262e+04
2.40481305e+00, -2.75404766e+04
2.41683722e+00, -2.75076230e+04
2.42886138e+00, -2.74744883e+04
2.44088554e+00, -2.74413066e+04
2.45290971e+00, -2.74080859e+04
2.46493387e+00, -2.73747383e+04
2.47695804e+00, -2.73409219e+04
2.48898220e+00, -2.73066230e+04
2.50100636e+00, -2.72717109e+04
2.51303053e+00, -2.72362363e+04
2.52505469e+00, -2.72003457e+04
2.53707886e+00, -2.71641992e+04
2.54910302e+00, -2.71279609e+04
2.56112719e+00, -2.70915195e+04
2.57315135e+00, -2.70545059e+04
2.58517551e+00, -2.70167656e+04
2.59719968e+00, -2.69782949e+04
2.60922384e+00, -2.69391875e+04
2.62124801e+00, -2.68997461e+04
2.63327217e+00, -2.68604766e+04
2.64529634e+00, -2.68214746e+04
2.65732050e+00, -2.67824023e+04
2.66934466e+00, -2.67427129e+04
2.68136883e+00, -2.67024277e+04
2.69339299e+00, -2.66615488e+04
2.70541716e+00, -2.66202363e+04
2.71744132e+00, -2.65785527e+04
2.72946548e+00, -2.65365352e+04
2.74148965e+00, -2.64943164e+04
2.75351381e+00, -2.64516504e+04
2.76553798e+00, -2.64086504e+04
2.77756214e+00, -2.63653027e+04
2.78958631e+00, -2.63216328e+04
2.80161047e+00, -2.62774648e+04
2.81363463e+00, -2.62330586e+04
2.82565880e+00, -2.61882539e+04
2.83768296e+00, -2.61430469e+04
2.84970713e+00, -2.60974707e+04
2.86173129e+00, -2.60516367e+04
2.87375546e+00, -2.60053984e+04
2.88577962e+00, -2.59588477e+04
2.89780378e+00, -2.59118906e+04
2.90982795e+00, -2.58645078e+04
2.92185211e+00, -2.58168027e+04
2.93387628e+00, -2.57686270e+04
2.94590044e+00, -2.57202363e+04
2.95792460e+00, -2.56717500e+04
2.96994877e+00, -2.56229395e+04
2.98197293e+00, -2.55737188e+04
2.99399710e+00, -2.55239883e+04
3.00602126e+00, -2.54738281e+04
3.01804543e+00, -2.54233379e+04
3.03006959e+00, -2.53725625e+04
3.04209375e+00, -2.53214043e+04
3.05411792e+00, -2.52698613e+04
3.06614208e+00, -2.52180039e+04
3.07816625e+00, -2.51658477e+04
3.09019041e+00, -2.51134160e+04
3.10221457e+00, -2.50607480e+04
3.11423874e+00, -2.50079902e+04
3.12626290e+00, -2.49549512e+04
3.13828707e+00, -2.49012109e+04
3.15031123e+00, -2.48468047e+04
3.16233540e+00, -2.47920234e+04
3.17435956e+00, -2.47371133e+04
3.18638372e+00, -2.46820645e+04
3.19840789e+00, -2.46268477e+04
3.21043205e+00, -2.45712363e+04
3.22245622e+00, -2.45152324e+04
3.23448038e+00, -2.44587949e+04
3.24650455e+00, -2.44020156e+04
3.25852871e+00, -2.43449082e+04
3.27055287e+00, -2.42875625e+04
3.28257704e+00, -2.42298457e+04
3.29460120e+00, -2.41718730e+04
3.30662537e+00, -2.41134238e+04
3.31864953e+00, -2.40545547e+04
3.33067369e+00, -2.39954121e+04
3.34269786e+00, -2.39360156e+04
3.35472202e+00, -2.38765215e+04
3.36674619e+00, -2.38166875e+04
3.37877035e+00, -2.37565664e+04
3.39079452e+00, -2.36960762e+04
3.40281868e+00, -2.36351309e+04
3.41484284e+00, -2.35738633e+04
3.42686701e+00, -2.35122578e+04
3.43889117e+00, -2.34502422e+04
3.45091534e+00, -2.33879609e+04
3.46293950e+00, -2.33254336e+04
3.47496367e+00, -2.32627559e+04
3.48698783e+00, -2.31998145e+04
3.49901199e+00, -2.31366055e+04
3.51103616e+00, -2.30729570e+04
3.52306032e+00, -2.30091504e+04
3.53508449e+00, -2.29450449e+04
3.54710865e+00, -2.28806543e+04
3.55913281e+00, -2.28158086e+04
3.57115698e+00, -2.27505078e+04
3.58318114e+00, -2.26847324e+04
3.59520531e+00, -2.26187246e+04
3.60722947e+00, -2.25525293e+04
3.61925364e+00, -2.24861895e+04
3.63127780e+00, -2.24196016e+04
3.64330196e+00, -2.23528262e+04
3.65532613e+00, -2.22857520e+04
3.66735029e+00, -2.22182891e+04
3.67937446e+00, -2.21506152e+04
3.69139862e+00, -2.20825664e+04
3.70342278e+00, -2.20142148e+04
3.71544695e+00, -2.19454082e+04
3.72747111e+00, -2.18761777e+04
3.73949528e+00, -2.18068145e+04
3.75151944e+00, -2.17372285e+04
3.76354361e+00, -2.16675586e+04
3.77556777e+00, -2.15977422e+04
3.78759193e+00, -2.15276230e+04
3.79961610e+00, -2.14569609e+04
3.81164026e+00, -2.13859199e+04
3.82366443e+00, -2.13146738e+04
3.83568859e+00, -2.12431250e+04
3.84771276e+00, -2.11713145e+04
3.85973692e+00, -2.10992754e+04
3.87176108e+00, -2.10270586e+04
3.88378525e+00, -2.09545938e+04
3.89580941e+00, -2.08817598e+04
3.90783358e+00, -2.08087070e+04
3.91985774e+00, -2.07353145e+04
3.93188190e+00, -2.06616289e+04
3.94390607e+00, -2.05878105e+04
3.95593023e+00, -2.05136543e+04
3.96795440e+00, -2.04392344e+04
3.97997856e+00, -2.03645781e+04
3.99200273e+00, -2.02896484e+04
4.00402689e+00, -2.02143516e+04
4.01605082e+00, -2.01387168e+04
4.02807474e+00, -2.00628125e+04
4.04009867e+00, -1.99866777e+04
4.05212259e+00, -1.99102109e+04
4.06414652e+00, -1.98335215e+04
4.07617044e+00, -1.97565586e+04
4.08819437e+00, -1.96797656e+04
4.10021830e+00, -1.96028652e+04
4.11224222e+00, -1.95258535e+04
4.12426615e+00, -1.94482988e+04
4.13629007e+00, -1.93701719e+04
4.14831400e+00, -1.92916699e+04
4.16033792e+00, -1.92129258e+04
4.17236185e+00, -1.91340566e+04
4.18438578e+00, -1.90550508e+04
4.19640970e+00, -1.89756152e+04
4.20843363e+00, -1.88959473e+04
4.22045755e+00, -1.88160078e+04
4.23248148e+00, -1.87359902e+04
4.24450541e+00, -1.86559063e+04
4.25652933e+00, -1.85756543e+04
4.26855326e+00, -1.84951797e+04
4.28057718e+00, -1.84144219e+04
4.29260111e+00, -1.83333398e+04
4.30462503e+00, -1.82521230e+04
4.31664896e+00, -1.81707402e+04
4.32867289e+00, -1.80889258e+04
4.34069681e+00, -1.80066309e+04
4.35272074e+00, -1.79239082e+04
4.36474466e+00, -1.78411270e+04
4.37676859e+00, -1.77583730e+04
4.38879251e+00, -1.76755566e+04
4.40081644e+00, -1.75923828e+04
4.41284037e+00, -1.75087383e+04
4.42486429e+00, -1.74247344e+04
4.43688822e+00, -1.73405566e+04
4.44891214e+00, -1.72561973e+04
4.46093607e+00, -1.71717324e+04
4.47296000e+00, -1.70871758e+04
4.48498392e+00, -1.70024512e+04
4.49700785e+00, -1.69174551e+04
4.50903177e+00, -1.68322520e+04
4.52105570e+00, -1.67467051e+04
4.53307962e+00, -1.66608867e+04
4.54510355e+00, -1.65748711e+04
4.55712748e+00, -1.64888262e+04
4.56915140e+00, -1.64026895e+04
4.58117533e+00, -1.63164141e+04
4.59319925e+00, -1.62298467e+04
4.60522318e+00, -1.61428818e+04
4.61724710e+00, -1.60557744e+04
4.62927103e+00, -1.59683213e+04
4.64129496e+00, -1.58804688e+04
4.65331888e+00, -1.57923887e+04
4.66534281e+00, -1.57041553e+04
4.67736673e+00, -1.56157275e+04
4.68939066e+00, -1.55271973e+04
4.70141459e+00, -1.54386074e+04
4.71343851e+00, -1.53499102e+04
4.72546244e+00, -1.52610430e+04
4.73748636e+00, -1.51720010e+04
4.74951029e+00, -1.50828213e+04
4.76153421e+00, -1.49934072e+04
4.77355814e+00, -1.49036357e+04
4.78558207e+00, -1.48134922e+04
4.79760599e+00, -1.47232139e+04
4.80962992e+00, -1.46327803e+04
4.82165384e+00, -1.45422705e+04
4.83367777e+00, -1.44515000e+04
4.84570169e+00, -1.43604121e+04
4.85772562e+00, -1.42692402e+04
4.86974955e+00, -1.41778730e+04
4.88177347e+00, -1.40862490e+04
4.89379740e+00, -1.39943809e+04
4.90582132e+00, -1.39023545e+04
4.91784525e+00, -1.38102051e+04
4.92986917e+00, -1.37179199e+04
4.94189310e+00, -1.36253564e+04
4.95391703e+00, -1.35326455e+04
4.96594095e+00, -1.34396494e+04
4.97796488e+00, -1.33463730e+04
4.98998880e+00, -1.32530146e+04
5.00201273e+00, -1.31595830e+04
5.01403666e+00, -1.30662852e+04
5.02606058e+00, -1.29729727e+04
5.03808451e+00, -1.28794697e+04
5.05010843e+00, -1.27856270e+04
5.06213236e+00, -1.26914658e+04
5.07415628e+00, -1.25967412e+04
5.08618021e+00, -1.25018203e+04
5.09820414e+00, -1.24068262e+04
5.11022806e+00, -1.23117236e+04
5.12225199e+00, -1.22166240e+04
5.13427591e+00, -1.21213857e+04
5.14629984e+00, -1.20258701e+04
5.15832376e+00, -1.19301182e+04
5.17034769e+00, -1.18341152e+04
5.18237162e+00, -1.17379814e+04
5.19439554e+00, -1.16416387e+04
5.20641947e+00, -1.15450449e+04
5.21844339e+00, -1.14483145e+04
5.23046732e+00, -1.13515430e+04
5.24249125e+00, -1.12547344e+04
5.25451517e+00, -1.11577148e+04
5.26653910e+00, -1.10604033e+04
5.27856302e+00, -1.09628672e+04
5.29058695e+00, -1.08650713e+04
5.30261087e+00, -1.07670898e+04
5.31463480e+00, -1.06688125e+04
5.32665873e+00, -1.05702529e+04
5.33868265e+00, -1.04714287e+04
5.35070658e+00, -1.03724541e+04
5.36273050e+00, -1.02733057e+04
5.37475443e+00, -1.01741084e+04
5.38677835e+00, -1.00746143e+04
5.39880228e+00, -9.97488770e+03
5.41082621e+00, -9.87471973e+03
5.42285013e+00, -9.77438867e+03
5.43487406e+00, -9.67386230e+03
5.44689798e+00, -9.57300977e+03
5.45892191e+00, -9.47184766e+03
5.47094584e+00, -9.37054590e+03
5.48296976e+00, -9.26900684e+03
5.49499369e+00, -9.16705273e+03
5.50701761e+00, -9.06475098e+03
5.51904154e+00, -8.96197949e+03
5.53106546e+00, -8.85854297e+03
5.54308939e+00, -8.75445020e+03
5.55511332e+00, -8.64986523e+03
5.56713724e+00, -8.54486035e+03
5.57916117e+00, -8.43945898e+03
5.59118509e+00, -8.33360840e+03
5.60320902e+00, -8.22731836e+03
5.61523294e+00, -8.12029590e+03
5.62725687e+00, -8.01244873e+03
5.63928080e+00, -7.90381885e+03
5.65130472e+00, -7.79428516e+03
5.66332865e+00, -7.68395850e+03
5.67535257e+00, -7.57270947e+03
5.68737650e+00, -7.46019434e+03
5.69940042e+00, -7.34656006e+03
5.71142435e+00, -7.23122510e+03
5.72344828e+00, -7.11455322e+03
5.73547220e+00, -6.99640918e+03
5.74749613e+00, -6.87649268e+03
5.75952005e+00, -6.75473096e+03
5.77154398e+00, -6.63097412e+03
5.78356791e+00, -6.50479639e+03
5.79559183e+00, -6.37577930e+03
5.80761576e+00, -6.24316992e+03
5.81963968e+00, -6.10584570e+03
5.83166361e+00, -5.96253125e+03
5.84368753e+00, -5.81167188e+03
5.85571146e+00, -5.65115332e+03
5.86773539e+00, -5.47833594e+03
5.87975931e+00, -5.29100684e+03
5.89178324e+00, -5.08547217e+03
5.90380716e+00, -4.85376563e+03
5.91583109e+00, -4.58477490e+03
5.92785501e+00, -4.26011230e+03
5.93987894e+00, -3.84970483e+03
5.95190287e+00, -3.32425659e+03
5.96392679e+00, -2.66052075e+03
5.97595072e+00, -1.85060229e+03
5.98797464e+00, -9.22817566e+02
5.99999857e+00, -1.20358421e+02


